segment_id_beg,segment_id_end,longitude,latitude,h_te_best_fit,h_te_uncertainty,h_canopy,h_canopy_uncertainty,track_id,beam,file_name
1899125,1899129,48.72527313232422,-19.47655487060547,49.567886,1.3242267,19.96658,1.5379777,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899130,1899134,48.72517776489258,-19.47565460205078,47.883255,4.026557,15.633125,2.0233176,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899135,1899139,48.7250862121582,-19.474754333496094,53.312054,2.4360769,6.1324425,1.9279914,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899140,1899144,48.72499465942383,-19.473854064941406,54.31359,2.514218,9.493343,1.7593639,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899145,1899149,48.72490310668945,-19.47295379638672,63.59082,2.4064553,10.544762,1.7467924,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899150,1899154,48.72481155395508,-19.472055435180664,76.954926,5.150288,14.521881,2.1923327,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899155,1899159,48.7247200012207,-19.471155166625977,89.56348,6.9831243,17.091866,3.285881,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899160,1899164,48.72462844848633,-19.47025489807129,92.800934,3.4760797,12.2048645,3.8939738,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899165,1899169,48.72453308105469,-19.4693546295166,93.577286,4.077002,18.652695,3.7419996,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899170,1899174,48.72444534301758,-19.468454360961914,138.18489,4.968469,14.916443,4.2763705,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899175,1899179,48.72435760498047,-19.467554092407227,160.47911,4.8919783,10.633392,4.590371,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899180,1899184,48.72426986694336,-19.46665382385254,186.60663,2.925284,6.8129272,3.3997285,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899185,1899189,48.72417449951172,-19.46575355529785,191.01337,3.4487684,5.3807983,2.8008697,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899190,1899194,48.72407531738281,-19.464853286743164,167.1144,4.1675205,13.941254,3.9909816,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899195,1899199,48.72397994995117,-19.46395492553711,157.319,8.358869,12.932037,6.2441854,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899200,1899204,48.72388458251953,-19.463054656982422,158.29329,6.5609612,9.199493,3.9152746,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899205,1899209,48.723793029785156,-19.462154388427734,162.44858,11.366887,6.9828186,5.4957275,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899210,1899214,48.723697662353516,-19.461254119873047,153.47923,5.115135,13.433044,4.1568694,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899215,1899219,48.72359848022461,-19.460355758666992,159.9405,7.495181,14.5616455,6.1634154,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899220,1899224,48.7235107421875,-19.459455490112305,176.26447,4.639699,12.033966,6.4520617,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899225,1899229,48.72342300415039,-19.458555221557617,174.81342,,20.071411,,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899230,1899234,48.72332000732422,-19.45765495300293,159.47868,4.406492,10.626953,4.240938,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899235,1899239,48.72322463989258,-19.456756591796875,152.10155,5.4189487,5.1884155,3.0587325,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899240,1899244,48.72312927246094,-19.455856323242188,135.74713,9.419823,12.885452,3.1693943,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899245,1899249,48.7230339050293,-19.4549560546875,128.51845,4.1504397,15.154663,3.995859,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899250,1899254,48.72294616699219,-19.454055786132812,145.68219,,26.47377,,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899255,1899259,48.72285461425781,-19.453155517578125,186.80206,5.588838,8.692108,2.7992725,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899260,1899264,48.72276306152344,-19.452255249023438,193.86406,4.3334436,6.815811,3.6165602,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899265,1899269,48.72267150878906,-19.45135498046875,215.69928,20.525177,10.224213,6.191085,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899270,1899274,48.72257614135742,-19.450456619262695,210.21005,9.977709,8.180115,3.8112593,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899275,1899279,48.72248077392578,-19.449556350708008,186.50548,9.274526,11.365173,3.7856846,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899280,1899284,48.722381591796875,-19.44865608215332,162.97382,8.744217,15.756958,2.9691737,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899285,1899289,48.7222785949707,-19.447757720947266,142.28984,8.422066,16.0206,6.8489966,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899290,1899294,48.72218704223633,-19.446857452392578,154.29744,4.904021,8.59288,3.4526951,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899295,1899299,48.72209548950195,-19.44595718383789,145.24364,4.013751,6.183609,2.4347484,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899300,1899304,48.72199249267578,-19.445058822631836,118.70315,2.56149,10.584633,2.8283405,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899305,1899309,48.72188949584961,-19.44415855407715,94.10132,5.830824,11.854218,4.3705053,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899310,1899314,48.7218017578125,-19.44325828552246,121.62695,2.4529243,6.5532,1.9129009,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899315,1899319,48.72171401977539,-19.442358016967773,138.9236,2.518521,7.5430603,2.8146877,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899320,1899324,48.721622467041016,-19.441457748413086,153.87373,,10.848679,,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899325,1899329,48.721527099609375,-19.44055938720703,145.93013,6.1240063,10.981354,3.3798282,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899330,1899334,48.721439361572266,-19.439659118652344,166.41132,6.638933,7.0046997,2.6313748,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899335,1899339,48.72134017944336,-19.438758850097656,144.92719,8.015256,10.577286,3.874287,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899340,1899344,48.72123336791992,-19.4378604888916,118.68694,5.7233977,18.785263,3.15603,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899345,1899349,48.72113800048828,-19.436960220336914,103.059845,9.382445,19.597221,4.4009066,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899350,1899354,48.721046447753906,-19.436059951782227,96.33694,,20.382172,,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899355,1899359,48.72095489501953,-19.43515968322754,93.1606,11.600041,14.354599,5.8022294,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899360,1899364,48.720863342285156,-19.43425941467285,93.593506,8.486683,15.600029,3.1705256,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899365,1899369,48.72076416015625,-19.433361053466797,88.88174,2.7589698,7.2265244,2.2966034,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899370,1899374,48.720672607421875,-19.43246078491211,103.67426,3.9336562,6.915848,1.9067081,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899375,1899379,48.72057342529297,-19.431560516357422,91.854706,2.089598,11.248413,1.7677588,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899380,1899384,48.72047424316406,-19.430662155151367,67.14454,6.3044133,13.995026,1.8752892,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899385,1899389,48.720375061035156,-19.42976188659668,45.21581,2.269524,13.40868,1.5408585,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899390,1899394,48.72028350830078,-19.428861618041992,45.71186,1.4124777,12.329861,1.1879903,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899395,1899399,48.720184326171875,-19.427963256835938,44.237503,3.4840133,16.8936,2.1476169,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899400,1899404,48.720088958740234,-19.42706298828125,32.966167,0.15700318,14.358456,0.2583389,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899405,1899409,48.71999740600586,-19.426162719726562,45.182575,3.0221965,13.003086,1.2789026,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899410,1899414,48.71990203857422,-19.425264358520508,37.158604,1.8843817,11.293871,1.374472,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899415,1899419,48.71980667114258,-19.42436408996582,30.545258,0.11103911,7.043762,0.16942368,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899420,1899424,48.7197151184082,-19.423463821411133,32.9211,0.38368914,11.04401,0.4500116,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899425,1899429,48.71961975097656,-19.422563552856445,30.09054,0.43799436,5.027025,0.65633875,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899430,1899434,48.71952438354492,-19.421663284301758,30.12043,0.5245348,13.985104,0.8109552,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899435,1899439,48.71943283081055,-19.420764923095703,33.798523,1.7017478,15.654396,1.2636371,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899440,1899444,48.71933364868164,-19.419864654541016,26.82323,0.14300609,6.66193,0.2065977,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899445,1899449,48.7192497253418,-19.418964385986328,50.675278,1.0041608,9.899078,0.99570197,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899450,1899454,48.71915817260742,-19.41806411743164,84.85175,1.8591033,7.654228,1.2239962,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899455,1899459,48.71906661987305,-19.417163848876953,94.700386,3.6182697,6.3414154,3.0341258,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899460,1899464,48.71897506713867,-19.416263580322266,93.746124,5.6308947,5.0272217,2.2846067,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899465,1899469,48.718875885009766,-19.41536521911621,74.418365,1.7921079,6.7300262,1.4826776,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899470,1899474,48.718772888183594,-19.414464950561523,56.074654,2.4172237,6.4087105,1.1622401,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899475,1899479,48.71867752075195,-19.41356658935547,38.118828,0.4366091,11.47834,0.62733287,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899480,1899484,48.71858215332031,-19.41266632080078,34.51871,0.45710814,10.143734,0.56779057,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899485,1899489,48.71849060058594,-19.411766052246094,43.51188,1.0131729,13.566521,1.3816231,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899490,1899494,48.71840286254883,-19.410865783691406,72.010574,,9.021011,,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899495,1899499,48.71830749511719,-19.40996551513672,70.37007,2.4059587,6.373581,2.5818675,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899500,1899504,48.71820831298828,-19.40906524658203,59.859673,2.0501626,6.6475945,1.3954647,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899505,1899509,48.71811294555664,-19.408166885375977,40.756275,1.2627463,10.283035,1.2016184,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899510,1899514,48.718017578125,-19.40726661682129,32.745686,0.15815915,,,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899515,1899519,48.717926025390625,-19.4063663482666,49.75674,,9.980339,,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899520,1899524,48.717830657958984,-19.405466079711914,42.106636,1.0178185,15.395969,1.3623898,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899525,1899529,48.717742919921875,-19.404565811157227,53.212925,3.4936852,12.116882,1.6032324,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899530,1899534,48.717647552490234,-19.403667449951172,55.188416,2.3957508,6.2180786,1.1321617,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899535,1899539,48.71754837036133,-19.402767181396484,36.80113,0.18260883,,,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899540,1899544,48.71745300292969,-19.401866912841797,37.889206,0.11233708,,,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899545,1899549,48.71736145019531,-19.40096664428711,43.365635,0.2009768,,,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899550,1899554,48.71726989746094,-19.400068283081055,45.539032,2.221089,9.516693,1.6998904,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899555,1899559,48.7171745300293,-19.399168014526367,46.26071,2.1256385,9.761772,2.73782,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899560,1899564,48.71708297729492,-19.39826774597168,70.173744,1.5802529,7.244385,1.6334347,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899565,1899569,48.71699523925781,-19.397367477416992,92.38871,5.6700583,8.71907,2.007571,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899570,1899574,48.71689987182617,-19.396467208862305,76.155525,11.163881,17.278496,4.4434147,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899575,1899579,48.71680450439453,-19.395566940307617,78.43827,2.032794,18.687943,1.8964405,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899580,1899584,48.716712951660156,-19.39466667175293,101.18063,2.63436,6.005638,2.7973197,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899585,1899589,48.716617584228516,-19.393768310546875,104.82262,12.466113,8.266823,2.3281574,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899590,1899594,48.716522216796875,-19.392868041992188,92.59572,15.456355,15.765785,9.4144535,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899595,1899599,48.716426849365234,-19.3919677734375,95.401436,2.7719414,17.38195,2.799777,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899600,1899604,48.71634292602539,-19.391067504882812,123.81418,3.046971,8.842316,2.6603544,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899605,1899609,48.716243743896484,-19.390167236328125,120.59726,2.5009873,8.771797,2.862251,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899610,1899614,48.71614456176758,-19.38926887512207,94.945465,3.719312,13.772408,2.5825808,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899615,1899619,48.7160530090332,-19.388368606567383,105.10586,2.6417449,5.2422028,2.1765313,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899620,1899624,48.71596145629883,-19.387468338012695,105.91728,6.6114583,10.125282,3.0983734,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899625,1899629,48.71586990356445,-19.386568069458008,105.36791,11.559992,19.26387,8.05306,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899630,1899634,48.71577453613281,-19.38566780090332,119.62543,3.8534963,19.772026,2.7867906,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899635,1899639,48.71567916870117,-19.384769439697266,119.91177,2.691433,12.906853,2.6026714,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899640,1899644,48.7155876159668,-19.383869171142578,135.24837,2.987688,8.11026,3.408236,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899645,1899649,48.71550369262695,-19.38296890258789,166.99693,8.991658,8.171875,2.7537422,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899650,1899654,48.71540069580078,-19.382068634033203,141.66942,4.055012,10.869232,3.3971114,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899655,1899659,48.715309143066406,-19.381168365478516,139.74821,5.753193,13.011169,4.081377,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899660,1899664,48.715213775634766,-19.380268096923828,140.24199,7.7817307,14.129532,5.292522,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899665,1899669,48.715118408203125,-19.379369735717773,150.69002,10.421859,16.715942,5.0604677,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899670,1899674,48.71503448486328,-19.378469467163086,176.61534,3.1120057,6.5329437,3.8180077,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899675,1899679,48.71495056152344,-19.377567291259766,212.57137,20.989233,8.545517,5.4156637,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899680,1899684,48.714847564697266,-19.37666893005371,201.96767,9.648509,7.1515503,3.807434,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899685,1899689,48.71474838256836,-19.375768661499023,172.86475,4.7428427,14.01445,4.1093383,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899690,1899694,48.71465301513672,-19.37487030029297,162.53555,9.452571,10.180634,5.0807767,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899695,1899699,48.71455764770508,-19.37397003173828,150.32657,3.4113624,9.366837,4.369808,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899700,1899704,48.71446228027344,-19.373069763183594,150.45287,4.823175,5.383316,2.9782917,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899705,1899709,48.71436309814453,-19.37217140197754,133.96375,3.5607471,7.0904694,3.12586,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899710,1899714,48.714271545410156,-19.37127113342285,134.90611,8.430263,18.284943,4.210851,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899715,1899719,48.71417236328125,-19.370370864868164,119.63602,5.0126886,7.43647,2.8272188,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899720,1899724,48.71407699584961,-19.369470596313477,120.71262,7.949961,10.714745,4.1854696,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899725,1899729,48.71398162841797,-19.368572235107422,115.166504,5.4304667,10.339462,2.9681146,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899730,1899734,48.71388244628906,-19.367671966552734,88.72553,8.349802,18.13733,5.59416,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899735,1899739,48.71378707885742,-19.366771697998047,81.49347,3.8794065,18.557037,3.3155282,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899740,1899744,48.71369552612305,-19.36587142944336,92.49471,3.0634205,11.084763,2.2135828,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899745,1899749,48.71359634399414,-19.364973068237305,75.375786,1.8204101,12.743233,2.3369007,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899750,1899754,48.713497161865234,-19.364072799682617,77.030815,5.2036204,7.42997,1.7305486,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899755,1899759,48.71340560913086,-19.363174438476562,75.513084,1.9844894,4.7267303,1.7548891,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899760,1899764,48.713314056396484,-19.362274169921875,75.50579,4.1100345,6.7884026,1.9299304,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899765,1899769,48.71321487426758,-19.361373901367188,58.307106,1.0618536,8.173817,1.1434463,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899770,1899774,48.71311950683594,-19.3604736328125,48.091476,0.5055001,5.2144585,0.7353913,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899775,1899779,48.7130241394043,-19.359575271606445,40.013554,1.1413704,11.021568,1.0491914,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899780,1899784,48.712928771972656,-19.358675003051758,25.037996,0.7507037,13.639641,1.2784175,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899785,1899789,48.712833404541016,-19.35777473449707,27.172586,0.5491242,17.678032,0.76377565,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899790,1899794,48.712738037109375,-19.356874465942383,30.432674,1.2998775,10.546099,1.4046146,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899795,1899799,48.712642669677734,-19.355976104736328,27.82679,0.554438,19.087992,0.72502464,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899800,1899804,48.712554931640625,-19.35507583618164,47.897327,1.5434912,15.636456,1.5207564,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899805,1899809,48.712459564208984,-19.354175567626953,59.854355,0.70631653,9.369339,1.0811187,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899810,1899814,48.712364196777344,-19.353275299072266,53.10094,1.1073558,11.937439,1.0049218,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899815,1899819,48.7122688293457,-19.35237693786621,32.71724,0.8514165,12.078438,1.1873349,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899820,1899824,48.712181091308594,-19.35147476196289,54.799824,3.465381,8.118332,1.669045,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899825,1899829,48.71208190917969,-19.350576400756836,35.994713,1.8848546,9.78928,1.5938952,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899830,1899834,48.71198654174805,-19.34967613220215,45.098434,0.85669875,5.5620117,0.9671312,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899835,1899839,48.71188735961914,-19.348777770996094,28.282354,0.7142437,11.099817,0.921689,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899840,1899844,48.7117919921875,-19.347877502441406,29.844364,0.8402531,9.747341,0.79899174,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899845,1899849,48.71170425415039,-19.34697723388672,49.154602,1.9939004,8.428928,1.6126963,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899850,1899854,48.711612701416016,-19.34607696533203,50.209244,1.678498,4.349312,2.4733946,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899855,1899859,48.71152114868164,-19.345176696777344,51.033085,1.0643457,10.205883,1.2473166,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899860,1899864,48.71142578125,-19.344276428222656,46.707718,4.362903,16.600437,2.3371668,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899870,1899874,48.71122741699219,-19.342477798461914,21.935097,0.907048,5.164671,0.8021084,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899875,1899879,48.71113204956055,-19.341577529907227,20.736881,0.13540581,12.465242,0.2353062,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899880,1899884,48.71104049682617,-19.340679168701172,22.249842,3.7286415,12.109629,1.4182607,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899885,1899889,48.71094512939453,-19.339778900146484,23.96325,0.8346542,8.1737175,0.9200415,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899890,1899894,48.710853576660156,-19.338878631591797,25.668201,7.7548585,9.061098,1.2794724,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899895,1899899,48.71076202392578,-19.33797836303711,32.244736,5.140222,14.37011,2.312089,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899900,1899904,48.710662841796875,-19.337078094482422,33.90287,3.2696567,11.471867,4.7138786,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899905,1899909,48.710575103759766,-19.336177825927734,41.524685,,18.089912,,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899910,1899914,48.710479736328125,-19.33527946472168,50.615078,2.9282708,12.566479,2.616566,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899915,1899919,48.710384368896484,-19.334379196166992,42.139626,0.25715137,,,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899920,1899924,48.71029281616211,-19.333478927612305,47.72254,0.24917077,,,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899925,1899929,48.71019744873047,-19.332578659057617,51.84975,0.84075177,3.920555,1.129424,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899930,1899934,48.71010208129883,-19.33167839050293,52.63585,1.9914442,15.68882,2.022695,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899935,1899939,48.71001052856445,-19.330778121948242,52.961246,0.5147786,,,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899940,1899944,48.70991897583008,-19.329879760742188,57.249897,0.5862093,,,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899945,1899949,48.7098274230957,-19.3289794921875,71.39635,2.3202672,12.551743,3.2998116,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899950,1899954,48.70973587036133,-19.328079223632812,78.8747,7.0696964,18.058266,5.8718343,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899955,1899959,48.70964431762695,-19.327178955078125,92.06567,3.715255,17.204926,4.3742986,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899960,1899964,48.709556579589844,-19.326278686523438,109.50731,6.5536966,14.232674,5.713597,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899965,1899969,48.7094612121582,-19.32537841796875,128.29462,3.5456538,11.909462,4.344549,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899970,1899974,48.70936965942383,-19.324478149414062,149.96323,2.89426,14.896896,3.7067108,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899975,1899979,48.70928192138672,-19.323577880859375,154.9001,5.7571716,17.546906,6.6206985,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899980,1899984,48.70918273925781,-19.322677612304688,164.58617,8.091376,16.14299,8.063681,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899985,1899989,48.7090950012207,-19.32177734375,177.01367,27.5731,11.749649,10.726536,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1899995,1899999,48.70890808105469,-19.319978713989258,181.80043,12.112537,11.087006,8.807788,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
1900000,1900004,48.70881652832031,-19.31907844543457,202.41136,13.324227,11.149155,7.6703467,943,gt3r,processed_ATL08_20191127164724_09430514_004_01.h5
