segment_id_beg,segment_id_end,longitude,latitude,h_te_best_fit,h_te_uncertainty,h_canopy,h_canopy_uncertainty,track_id,beam,file_name
1901154,1901158,48.81578826904297,-19.099279403686523,304.77222,43.743656,13.755707,23.22973,943,gt3r,processed_ATL08_20190530012743_09430314_004_01.h5
1901174,1901178,48.81541442871094,-19.095680236816406,279.3041,56.27249,32.808716,41.379204,943,gt3r,processed_ATL08_20190530012743_09430314_004_01.h5
1901184,1901188,48.815223693847656,-19.09387969970703,280.42133,19.463598,19.396454,12.559678,943,gt3r,processed_ATL08_20190530012743_09430314_004_01.h5
1901189,1901193,48.815128326416016,-19.092979431152344,272.14233,4.533658,7.422699,5.0438523,943,gt3r,processed_ATL08_20190530012743_09430314_004_01.h5
1901194,1901198,48.81503677368164,-19.092079162597656,272.83386,1.6741523,,,943,gt3r,processed_ATL08_20190530012743_09430314_004_01.h5
1901269,1901273,48.81362533569336,-19.078580856323242,269.5694,4.4284735,9.491516,4.7043705,943,gt3r,processed_ATL08_20190530012743_09430314_004_01.h5
1901274,1901278,48.813533782958984,-19.077680587768555,277.93237,8.859337,11.03949,8.404985,943,gt3r,processed_ATL08_20190530012743_09430314_004_01.h5
1901279,1901283,48.813438415527344,-19.076780319213867,300.53085,27.178596,18.999664,24.264503,943,gt3r,processed_ATL08_20190530012743_09430314_004_01.h5
1901289,1901293,48.81324768066406,-19.074979782104492,298.92093,14.9347105,7.524811,10.656138,943,gt3r,processed_ATL08_20190530012743_09430314_004_01.h5
1901294,1901298,48.81315612792969,-19.074079513549805,302.49704,11.51298,6.9954834,11.91422,943,gt3r,processed_ATL08_20190530012743_09430314_004_01.h5
1901309,1901313,48.8128662109375,-19.071380615234375,370.0153,122.89517,5.835602,16.430668,943,gt3r,processed_ATL08_20190530012743_09430314_004_01.h5
1901324,1901328,48.812591552734375,-19.068679809570312,329.70322,4.177573,7.0404053,5.649306,943,gt3r,processed_ATL08_20190530012743_09430314_004_01.h5
1901329,1901333,48.812496185302734,-19.067779541015625,336.9154,10.239007,4.3302,11.410021,943,gt3r,processed_ATL08_20190530012743_09430314_004_01.h5
1901349,1901353,48.81211471557617,-19.064180374145508,346.44403,86.60778,11.828674,16.542585,943,gt3r,processed_ATL08_20190530012743_09430314_004_01.h5
