segment_id_beg,segment_id_end,longitude,latitude,h_te_best_fit,h_te_uncertainty,h_canopy,h_canopy_uncertainty,track_id,beam,file_name
1901574,1901578,48.90451431274414,-19.0145263671875,61.35955,3.824266,8.926056,2.9281337,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901579,1901583,48.90441131591797,-19.013626098632812,98.82306,11.419873,12.27433,9.384015,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901589,1901593,48.90423583984375,-19.011825561523438,111.27363,23.081781,18.207756,11.455014,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901594,1901598,48.90414810180664,-19.01092529296875,93.714584,10.456971,18.088013,7.613679,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901599,1901603,48.904075622558594,-19.01002311706543,71.11226,17.656069,16.648136,6.533389,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901604,1901608,48.90399932861328,-19.00912094116211,36.332344,8.142794,14.023327,2.324,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901609,1901613,48.903907775878906,-19.008220672607422,42.945778,1.5996981,5.079624,1.3984891,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901644,1901648,48.903289794921875,-19.001916885375977,34.11677,2.2397814,12.1034775,2.0314043,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901649,1901653,48.903202056884766,-19.00101661682129,24.0275,0.5260084,10.495485,0.8706494,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901654,1901658,48.903106689453125,-19.0001163482666,30.723534,,12.4307575,,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901659,1901663,48.903018951416016,-18.99921417236328,21.483704,0.6446821,10.48513,0.9997324,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901664,1901668,48.902923583984375,-18.998315811157227,38.874687,2.7485888,8.0972595,2.1744096,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901669,1901673,48.90282440185547,-18.99741554260254,70.09255,9.426403,17.747765,4.838258,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901674,1901678,48.902732849121094,-18.99651527404785,73.697395,6.133012,16.859627,2.7329726,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901679,1901683,48.902652740478516,-18.99561309814453,34.107777,1.8638524,15.921322,1.81256,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901684,1901688,48.90256881713867,-18.994712829589844,25.61662,1.3812315,10.889095,1.3483808,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901689,1901693,48.90247344970703,-18.993812561035156,29.495014,3.7751784,14.661896,1.317506,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901694,1901698,48.90237808227539,-18.99291229248047,26.87901,3.4957907,11.544384,1.3020704,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901699,1901703,48.902286529541016,-18.99201202392578,33.358543,1.9804796,10.01696,1.3756648,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901704,1901708,48.902191162109375,-18.991111755371094,32.59231,1.3205769,5.8386726,1.3660326,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901709,1901713,48.902103424072266,-18.990211486816406,27.938963,1.6792157,6.287243,1.0273324,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901714,1901718,48.902015686035156,-18.98931121826172,24.855415,3.8876998,8.460712,1.7927033,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901719,1901723,48.90192413330078,-18.98841094970703,11.04964,2.0603101,21.829432,1.4180578,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901874,1901878,48.89889144897461,-18.960519790649414,8.458251,0.1776698,7.2240653,0.17235096,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901879,1901883,48.898780822753906,-18.95962142944336,36.7492,1.3430675,15.008366,0.9702576,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901884,1901888,48.898677825927734,-18.958723068237305,52.558483,5.694216,8.035358,1.8208289,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901889,1901893,48.89857864379883,-18.957822799682617,38.448975,4.77977,31.596268,2.1478767,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901904,1901908,48.89827346801758,-18.95512580871582,40.42627,3.81076,25.716812,2.1887572,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901909,1901913,48.898170471191406,-18.954225540161133,43.388058,,24.361835,,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901914,1901918,48.898075103759766,-18.953325271606445,47.405495,2.8957787,10.12608,1.2784708,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901919,1901923,48.89797592163086,-18.95242691040039,29.621151,1.4536427,9.887566,0.95875865,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901964,1901968,48.897071838378906,-18.944332122802734,67.71449,6.162568,11.364769,2.656489,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901969,1901973,48.896968841552734,-18.943431854248047,74.2935,3.57223,12.448441,1.6016853,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901974,1901978,48.896881103515625,-18.94253158569336,49.21569,3.014296,11.913101,2.0059135,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901979,1901983,48.896766662597656,-18.941633224487305,92.64537,4.7381935,7.3547287,1.7714686,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901984,1901988,48.89668273925781,-18.940732955932617,51.219296,1.1277637,10.522961,0.9816483,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901989,1901993,48.89657974243164,-18.93983268737793,64.15302,2.5430646,12.106422,1.4660599,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1901994,1901998,48.896488189697266,-18.938932418823242,53.331726,2.6684103,9.590691,1.2363191,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1902004,1902008,48.89627456665039,-18.937135696411133,83.92311,16.249613,11.763855,4.1020756,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1902335,1902339,48.890140533447266,-18.87754249572754,30.05533,,14.119745,,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1902340,1902344,48.890052795410156,-18.87664031982422,26.664448,0.37722313,6.762577,0.5833747,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1902360,1902364,48.88967514038086,-18.8730411529541,31.426222,,20.294329,,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1902365,1902369,48.889591217041016,-18.87213897705078,25.25263,0.39298612,12.114952,0.669006,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1902370,1902374,48.889503479003906,-18.871238708496094,24.683712,0.8702322,15.328926,0.90886664,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1902375,1902379,48.889408111572266,-18.870338439941406,33.164566,0.4472641,9.44199,0.55915534,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1902380,1902384,48.889312744140625,-18.86944007873535,33.403008,2.659532,11.140831,1.4033843,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1902385,1902389,48.88920974731445,-18.868539810180664,64.30317,2.6769934,12.466999,1.9600943,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1902390,1902394,48.889122009277344,-18.867639541625977,46.71972,1.0151678,8.715981,0.9329616,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1902395,1902399,48.889034271240234,-18.86673927307129,29.116331,0.27931497,8.053537,0.43131557,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1902400,1902404,48.888938903808594,-18.8658390045166,39.11188,0.8254029,10.966461,0.78605056,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1902405,1902409,48.888851165771484,-18.864938735961914,28.818531,0.2876149,7.967964,0.31754994,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
1902410,1902414,48.888755798339844,-18.864038467407227,30.788582,0.6702323,6.5990353,0.5472584,943,gt3r,processed_ATL08_20210223190628_09431014_004_01.h5
