segment_id_beg,segment_id_end,longitude,latitude,h_te_best_fit,h_te_uncertainty,h_canopy,h_canopy_uncertainty,track_id,beam,file_name
1899094,1899098,48.82256317138672,-19.473072052001953,18.23783,,9.422489,,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899104,1899108,48.82236862182617,-19.471271514892578,4.171798,0.051211964,23.092213,0.21231052,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899114,1899118,48.82217788696289,-19.469472885131836,3.8429828,0.017450059,,,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899119,1899123,48.82208251953125,-19.46857261657715,6.851965,0.07938147,20.755688,0.4378966,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899129,1899133,48.821895599365234,-19.466773986816406,4.547997,0.040485404,,,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899134,1899138,48.82179641723633,-19.46587371826172,4.7611065,,22.455154,,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899144,1899148,48.82160186767578,-19.464075088500977,3.8476562,0.030276155,,,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899149,1899153,48.82150650024414,-19.46317481994629,3.6478372,0.05136905,13.096946,0.22392796,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899159,1899163,48.821311950683594,-19.461374282836914,1.9531738,0.014679143,11.653021,0.11133932,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899164,1899168,48.82122039794922,-19.46047592163086,0.8091063,0.002608625,12.24929,0.023028782,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899169,1899173,48.82112121582031,-19.459575653076172,0.49380606,0.0050559593,13.030435,0.039931677,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899174,1899178,48.82102966308594,-19.458675384521484,7.429031,,7.6997194,,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899189,1899193,48.820743560791016,-19.455976486206055,-0.49281904,0.0045289034,16.753548,0.12459337,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899204,1899208,48.820457458496094,-19.453277587890625,1.7535125,0.048359487,19.742382,0.39638224,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899209,1899213,48.82036209106445,-19.452377319335938,0.58133733,,19.301338,,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899214,1899218,48.82026672363281,-19.45147705078125,-2.441502,0.022478996,17.375872,0.10346056,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899219,1899223,48.82017135620117,-19.450576782226562,-2.5491428,0.007787502,16.244673,0.03398438,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899224,1899228,48.82007598876953,-19.449678421020508,0.98357403,0.06856967,8.580211,0.13888767,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899229,1899233,48.81998062133789,-19.44877815246582,6.88051,1.9846319,12.923082,0.5184446,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899234,1899238,48.819889068603516,-19.447877883911133,-2.4965556,0.02754122,13.244915,0.057771612,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899239,1899243,48.819793701171875,-19.446977615356445,-19.245451,0.011850939,23.835474,0.015150994,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899244,1899248,48.819698333740234,-19.446077346801758,-3.5858274,0.012220259,,,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899254,1899258,48.81951141357422,-19.444278717041016,4.020937,,19.000294,,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899269,1899273,48.8192253112793,-19.441577911376953,-0.06966325,0.051940467,26.718775,1.6064614,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899274,1899278,48.819129943847656,-19.4406795501709,3.7073793,0.03209858,14.241068,0.13810578,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899309,1899313,48.81847381591797,-19.43437957763672,30.90455,2.2187908,12.678648,2.7210948,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899329,1899333,48.81809997558594,-19.4307804107666,35.646656,,10.960957,,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899344,1899348,48.81781768798828,-19.42807960510254,15.88424,,13.555205,,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899349,1899353,48.817726135253906,-19.42717933654785,8.552021,0.05070303,14.780664,0.13413496,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899354,1899358,48.81763458251953,-19.426279067993164,6.032755,0.056471333,8.621289,0.10885838,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899359,1899363,48.81753921508789,-19.425378799438477,20.246923,0.28252992,,,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899379,1899383,48.81716537475586,-19.42177963256836,3.287372,0.028069628,9.328628,0.072776265,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899384,1899388,48.817073822021484,-19.420879364013672,4.1925116,0.047685537,15.111628,0.25993904,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899394,1899398,48.81688690185547,-19.419078826904297,8.851841,1.7575207,15.334622,3.1176267,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899404,1899408,48.81670379638672,-19.417278289794922,4.065665,0.014751282,,,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899409,1899413,48.816612243652344,-19.416379928588867,4.4610267,0.039262787,16.631487,0.14893307,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899419,1899423,48.81642532348633,-19.414579391479492,5.873138,,13.285652,,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899424,1899428,48.81633377075195,-19.413679122924805,5.5069733,0.037634473,12.858746,0.12187989,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899429,1899433,48.81624221801758,-19.412778854370117,7.961085,0.11888858,16.772266,0.30749586,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899439,1899443,48.81605529785156,-19.410978317260742,10.105809,0.03739066,20.711552,0.10808525,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899449,1899453,48.81586837768555,-19.4091796875,12.774971,0.19645321,17.763008,0.3900378,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899454,1899458,48.81577682495117,-19.408279418945312,13.7903385,0.03615428,13.228913,0.070637256,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899459,1899463,48.8156852722168,-19.407379150390625,14.553654,0.14384578,18.704483,0.2744508,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899464,1899468,48.815589904785156,-19.406478881835938,19.760605,2.5686693,14.129883,2.075005,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899489,1899493,48.815128326416016,-19.4019775390625,25.454376,,19.442802,,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899494,1899498,48.81503677368164,-19.401077270507812,20.21964,0.8194532,18.154402,1.2678156,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899499,1899503,48.814945220947266,-19.400178909301758,17.286951,0.03929546,2.6777763,0.0562417,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899504,1899508,48.814849853515625,-19.39927864074707,16.04547,0.028323257,3.299283,0.0393745,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899509,1899513,48.81475830078125,-19.398378372192383,15.923666,0.18317375,6.56888,0.19031706,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
1899514,1899518,48.81466293334961,-19.397478103637695,16.30192,1.5961713,11.5103445,0.9547264,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
