,segment_id_beg,segment_id_end,longitude,latitude,h_te_best_fit,h_te_uncertainty,h_canopy,h_canopy_uncertainty,track_id,beam,file_name
48,1899509,1899513,48.81475830078125,-19.398378372192383,15.923666,0.18317375,6.56888,0.19031706,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
49,1899514,1899518,48.81466293334961,-19.39747810363769,16.30192,1.5961713,11.5103445,0.9547264,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
50,1899519,1899523,48.814571380615234,-19.396577835083008,16.104881,0.10009818,11.453029,0.17270413,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
51,1899524,1899528,48.81447982788086,-19.39567756652832,15.604067,0.0567652,32.454865,0.1064943,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
52,1899529,1899533,48.81438827514648,-19.394777297973636,27.74758,0.3176312,25.118374,0.8050638,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
53,1899554,1899558,48.81391906738281,-19.390277862548828,82.15213,8.761141,16.037827,5.6488585,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
55,1899589,1899593,48.813262939453125,-19.38397789001465,16.39357,0.20430231,31.72573,0.631155,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
56,1899599,1899603,48.81307601928711,-19.382179260253903,21.513102,0.4570232,39.929348,1.1333566,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
57,1899604,1899608,48.81298065185547,-19.38127899169922,20.264454,0.5378145,25.535501,1.0943931,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
59,1899624,1899628,48.81260299682617,-19.3776798248291,19.080143,0.31231263,15.931433,0.5431806,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
60,1899629,1899633,48.81250762939453,-19.37677955627441,19.964268,0.08690716,21.907928,0.20117626,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
61,1899639,1899643,48.81231689453125,-19.37497901916504,24.045048,0.2706884,25.761316,0.5239608,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
68,1899809,1899813,48.8090705871582,-19.34438705444336,36.771526,0.6735345,23.869026,0.92750067,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
70,1899829,1899833,48.80868911743164,-19.34078788757324,39.593407,0.34523484,24.482422,0.6376527,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
